,country,year,wage,sex,ISO,currency,local_currency,break
282,Argentina,2006,1185.819,M,ARG,Local,Argentine peso (ARS),False
283,Argentina,2006,827.057,F,ARG,Local,Argentine peso (ARS),False
284,Argentina,2005,816.306,T,ARG,Local,Argentine peso (ARS),False
285,Argentina,2005,953.885,M,ARG,Local,Argentine peso (ARS),False
286,Argentina,2005,644.352,F,ARG,Local,Argentine peso (ARS),False
287,Argentina,2004,685.086,T,ARG,Local,Argentine peso (ARS),True
288,Argentina,2004,797.288,M,ARG,Local,Argentine peso (ARS),True
289,Argentina,2004,546.02,F,ARG,Local,Argentine peso (ARS),True
290,Armenia,2023,159067.084,T,ARM,Local,Dram (AMD),False
291,Armenia,2023,983.062,T,ARM,PPP,Dram (AMD),False
292,Armenia,2023,405.291,T,ARM,USD,Dram (AMD),False
293,Armenia,2023,191768.267,M,ARM,Local,Dram (AMD),False
294,Armenia,2023,1185.161,M,ARM,PPP,Dram (AMD),False
295,Armenia,2023,488.611,M,ARM,USD,Dram (AMD),False
296,Armenia,2023,121840.729,F,ARM,Local,Dram (AMD),False
297,Armenia,2023,752.997,F,ARM,PPP,Dram (AMD),False
298,Armenia,2023,310.441,F,ARM,USD,Dram (AMD),False
299,Armenia,2022,142818.811,T,ARM,Local,Dram (AMD),False
300,Armenia,2022,864.538,T,ARM,PPP,Dram (AMD),False
301,Armenia,2022,327.817,T,ARM,USD,Dram (AMD),False
302,Armenia,2022,171843.358,M,ARM,Local,Dram (AMD),False
303,Armenia,2022,1040.234,M,ARM,PPP,Dram (AMD),False
304,Armenia,2022,394.438,M,ARM,USD,Dram (AMD),False
305,Armenia,2022,109879.633,F,ARM,Local,Dram (AMD),False
306,Armenia,2022,665.144,F,ARM,PPP,Dram (AMD),False
307,Armenia,2022,252.211,F,ARM,USD,Dram (AMD),False
308,Armenia,2021,130559.108,T,ARM,Local,Dram (AMD),False
309,Armenia,2021,794.994,T,ARM,PPP,Dram (AMD),False
310,Armenia,2021,259.164,T,ARM,USD,Dram (AMD),False
311,Armenia,2021,158052.93,M,ARM,Local,Dram (AMD),False
312,Armenia,2021,962.408,M,ARM,PPP,Dram (AMD),False
313,Armenia,2021,313.74,M,ARM,USD,Dram (AMD),False
314,Armenia,2021,104116.368,F,ARM,Local,Dram (AMD),False
315,Armenia,2021,633.98,F,ARM,PPP,Dram (AMD),False
316,Armenia,2021,206.674,F,ARM,USD,Dram (AMD),False
317,Armenia,2020,125733.844,T,ARM,Local,Dram (AMD),False
318,Armenia,2020,793.885,T,ARM,PPP,Dram (AMD),False
319,Armenia,2020,257.12,T,ARM,USD,Dram (AMD),False
320,Armenia,2020,151655.781,M,ARM,Local,Dram (AMD),False
321,Armenia,2020,957.557,M,ARM,PPP,Dram (AMD),False
322,Armenia,2020,310.129,M,ARM,USD,Dram (AMD),False
323,Armenia,2020,100066.646,F,ARM,Local,Dram (AMD),False
324,Armenia,2020,631.822,F,ARM,PPP,Dram (AMD),False
325,Armenia,2020,204.632,F,ARM,USD,Dram (AMD),False
326,Armenia,2019,119804.028,T,ARM,Local,Dram (AMD),False
327,Armenia,2019,736.883,T,ARM,PPP,Dram (AMD),False
328,Armenia,2019,249.36,T,ARM,USD,Dram (AMD),False
329,Armenia,2019,144778.041,M,ARM,Local,Dram (AMD),False
330,Armenia,2019,890.492,M,ARM,PPP,Dram (AMD),False
331,Armenia,2019,301.342,M,ARM,USD,Dram (AMD),False
332,Armenia,2019,92487.175,F,ARM,Local,Dram (AMD),False
333,Armenia,2019,568.864,F,ARM,PPP,Dram (AMD),False
334,Armenia,2019,192.503,F,ARM,USD,Dram (AMD),False
335,Armenia,2017,103505.383,T,ARM,Local,Dram (AMD),False
336,Armenia,2017,621.732,T,ARM,PPP,Dram (AMD),False
337,Armenia,2017,214.423,T,ARM,USD,Dram (AMD),False
338,Armenia,2017,122056.875,M,ARM,Local,Dram (AMD),False
339,Armenia,2017,733.167,M,ARM,PPP,Dram (AMD),False
340,Armenia,2017,252.854,M,ARM,USD,Dram (AMD),False
341,Armenia,2017,84423.741,F,ARM,Local,Dram (AMD),False
342,Armenia,2017,507.113,F,ARM,PPP,Dram (AMD),False
343,Armenia,2017,174.893,F,ARM,USD,Dram (AMD),False
344,Armenia,2016,99931.079,T,ARM,Local,Dram (AMD),False
345,Armenia,2016,577.538,T,ARM,PPP,Dram (AMD),False
346,Armenia,2016,207.978,T,ARM,USD,Dram (AMD),False
347,Armenia,2016,119163.433,M,ARM,Local,Dram (AMD),False
348,Armenia,2016,688.689,M,ARM,PPP,Dram (AMD),False
349,Armenia,2016,248.005,M,ARM,USD,Dram (AMD),False
350,Armenia,2016,79541.311,F,ARM,Local,Dram (AMD),False
351,Armenia,2016,459.698,F,ARM,PPP,Dram (AMD),False
352,Armenia,2016,165.543,F,ARM,USD,Dram (AMD),False
353,Armenia,2015,100331.238,T,ARM,Local,Dram (AMD),False
354,Armenia,2015,541.718,T,ARM,PPP,Dram (AMD),False
355,Armenia,2015,209.934,T,ARM,USD,Dram (AMD),False
356,Armenia,2015,119184.393,M,ARM,Local,Dram (AMD),False
357,Armenia,2015,643.511,M,ARM,PPP,Dram (AMD),False
358,Armenia,2015,249.382,M,ARM,USD,Dram (AMD),False
359,Armenia,2015,79546.827,F,ARM,Local,Dram (AMD),False
360,Armenia,2015,429.497,F,ARM,PPP,Dram (AMD),False
361,Armenia,2015,166.444,F,ARM,USD,Dram (AMD),False
362,Armenia,2014,95690.029,T,ARM,Local,Dram (AMD),True
363,Armenia,2014,521.183,T,ARM,PPP,Dram (AMD),True
364,Armenia,2014,230.068,T,ARM,USD,Dram (AMD),True
365,Armenia,2014,114809.237,M,ARM,Local,Dram (AMD),True
366,Armenia,2014,625.317,M,ARM,PPP,Dram (AMD),True
367,Armenia,2014,276.037,M,ARM,USD,Dram (AMD),True
368,Armenia,2014,74654.281,F,ARM,Local,Dram (AMD),True
369,Armenia,2014,406.61,F,ARM,PPP,Dram (AMD),True
370,Armenia,2014,179.492,F,ARM,USD,Dram (AMD),True
371,Armenia,2013,93306.883,T,ARM,Local,Dram (AMD),False
372,Armenia,2013,522.03,T,ARM,PPP,Dram (AMD),False
373,Armenia,2013,227.786,T,ARM,USD,Dram (AMD),False
374,Armenia,2013,110849.243,M,ARM,Local,Dram (AMD),False
375,Armenia,2013,620.175,M,ARM,PPP,Dram (AMD),False
376,Armenia,2013,270.611,M,ARM,USD,Dram (AMD),False
377,Armenia,2013,70296.765,F,ARM,Local,Dram (AMD),False
378,Armenia,2013,393.294,F,ARM,PPP,Dram (AMD),False
379,Armenia,2013,171.612,F,ARM,USD,Dram (AMD),False
380,Armenia,2012,88760.389,T,ARM,Local,Dram (AMD),False
381,Armenia,2012,561.503,T,ARM,PPP,Dram (AMD),False
382,Armenia,2012,220.927,T,ARM,USD,Dram (AMD),False
383,Armenia,2012,105034.109,M,ARM,Local,Dram (AMD),False
384,Armenia,2012,664.452,M,ARM,PPP,Dram (AMD),False
385,Armenia,2012,261.432,M,ARM,USD,Dram (AMD),False
386,Armenia,2012,69123.535,F,ARM,Local,Dram (AMD),False
