ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Djibouti,HS - Djiboutian Household Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2017,536.199,Break in series,,Currency: DJI - Djiboutian franc (DJF) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,LFS - Continuous National Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,485.198,,,Currency: DOM - Dominican peso (DOP),Repository: ILO-STATISTICS - Micro data processing
Ecuador,"LFS - National Survey on Employment, Unemployment and Underemployment",Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,501.085,,,Currency: ECU - United States dollar (USD),Repository: ILO-STATISTICS - Micro data processing
Egypt,LFS - Labour Force Sample Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,129.834,,,Currency: EGY - Egyptian pound (EGP),Repository: ILO-STATISTICS - Micro data processing
El Salvador,HS - Multi-purpose Household Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,1992.19,,,Currency: SLV - United States dollar (USD),Repository: ILO-STATISTICS - Micro data processing
Estonia,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,2937.607,,,Currency: EST - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Eswatini,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2021,393.906,,,Currency: SWZ - Lilangeni (SZL),Repository: ILO-STATISTICS - Micro data processing
Ethiopia,LFS - National Labor Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2021,105.58,,,Currency: ETH - Birr (ETB),Repository: ILO-STATISTICS - Micro data processing
Fiji,"LFS - Employment, Unemployment Survey",Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2016,513.23,,,Central tendency measure: Mean of the midpoints of the intervals provided | Currency: FJI - Fijian dollar (FJD),Repository: ILO-STATISTICS - Micro data processing
Finland,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,5666.388,,,Currency: FIN - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
France,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,5019.608,,,Currency: FRA - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Gambia,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2018,84.887,Break in series,,Central tendency measure: Mean of the midpoints of the intervals provided | Currency: GMB - Dalasi (GMD) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Georgia,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,377.604,,,Currency: GEO - Lari (GEL),Repository: ILO-STATISTICS - Micro data processing
