,ISO,year,country,T,M,F,ratio,break,female_share,male_share,balanced_avg,balanced_ratio
3731,IMN,2014,Isle of Man,2895.298,3092.746,2632.337,0.851132618068215,False,0.4288534759311835,0.5711465240688165,2862.5415000000003,0.919580379882702
3732,IMN,2016,Isle of Man,2966.464,3356.498,2449.697,0.7298371695737641,False,0.4301208313621182,0.5698791686378818,2903.0975,0.8438218144585224
3733,IND,2005,India,5121.703,5436.252,3787.866,0.6967789572668817,False,0.19082241659417146,0.8091775834058286,4612.059,0.8212960848939703
3736,IND,2010,India,9585.423,10027.428,7604.418,0.758361765349998,False,0.182419800165909,0.817580199834091,8815.922999999999,0.8625776336748858
3739,IND,2012,India,11910.637,12562.921,9220.648,0.7339573336487588,False,0.19516179558043267,0.8048382044195673,10891.7845,0.8465690814944052
3742,IND,2018,India,15678.987,16813.444,11861.509,0.7054776522882522,False,0.22909367752201926,0.7709063224779807,14337.4765,0.8273079994237479
3745,IND,2019,India,15799.338,17017.66,12150.884,0.7140161455805323,False,0.2503345130328579,0.7496654869671421,14584.272,0.8331498480006406
3748,IND,2020,India,17037.051,18428.805,12780.065,0.6934831097295783,False,0.2463830872017478,0.7536169127982522,15604.435000000001,0.8190020978010418
3751,IND,2021,India,17583.076,19036.947,13228.623,0.694892043351279,False,0.25030817840051606,0.7496918215994839,16132.785,0.8199838403598635
3754,IND,2022,India,18799.404,20268.842,14360.507,0.7085016006341162,False,0.24870593830580048,0.7512940616941995,17314.6745,0.829383595978082
3757,IND,2023,India,19783.492,21513.812,15058.111,0.6999276092958329,False,0.26802976160141295,0.7319702383985871,18285.9615,0.8234793122582041
3760,IRL,2002,Ireland,2641.09,3027.36,2298.92,0.75938111093494,False,0.5302701663829553,0.4697298336170447,2663.1400000000003,0.8632366304437618
3763,IRL,2004,Ireland,2336.965,2801.441,1823.497,0.6509139403614069,False,0.4749515309670081,0.525048469032992,2312.469,0.7885498140731833
3766,IRL,2005,Ireland,2372.294,2807.203,1906.654,0.6792006135644626,False,0.48293763026775904,0.517062369732241,2356.9285,0.8089570812182041
3769,IRL,2006,Ireland,2521.797,2985.882,2019.329,0.6762922982220998,False,0.480144389391994,0.519855610608006,2502.6055,0.8068906585556532
3772,IRL,2007,Ireland,3224.751,3927.23,2516.194,0.6407045169241424,False,0.4978462633129132,0.5021537366870867,3221.712,0.7810114622287777
3775,IRL,2008,Ireland,3361.282,4009.65,2707.209,0.675173394186525,False,0.4978098815992431,0.5021901184007569,3358.4295,0.8060937411370402
3778,IRL,2009,Ireland,3227.006,3845.12,2597.654,0.6755716336551265,False,0.49549566881983165,0.5045043311801684,3221.3869999999997,0.8063775013681995
3781,IRL,2010,Ireland,3350.99,3963.397,2774.141,0.6999402280417532,False,0.5149496828269104,0.48505031717308955,3368.7690000000002,0.8234880456332861
3784,IRL,2011,Ireland,3423.298,4100.542,2864.219,0.6984976620163871,False,0.5477888868847384,0.45221111311526163,3482.3805,0.8224888118917505
3787,IRL,2012,Ireland,3418.78,3986.797,2906.058,0.7289204842885153,False,0.5255820322945687,0.4744179677054313,3446.4275,0.8432088009975548
3790,IRL,2013,Ireland,3626.69,4296.427,3016.881,0.7021836982218015,False,0.5234176809587148,0.47658231904128523,3656.6539999999995,0.8250386829051916
3793,IRL,2014,Ireland,3595.739,4293.584,2951.622,0.6874494594725525,False,0.5200184505969616,0.4799815494030384,3622.603,0.8147793175238909
3796,IRL,2015,Ireland,3560.568,4213.507,2944.473,0.6988176357604248,False,0.5145165535359963,0.48548344646400365,3578.99,0.8227105971237696
3799,IRL,2016,Ireland,3678.744,4288.114,3071.79,0.7163498918172418,False,0.5009931564287144,0.49900684357128555,3679.9519999999998,0.8347364313447567
3802,IRL,2017,Ireland,3721.719,4277.941,3167.67,0.7404660326077429,False,0.5009785899118322,0.4990214100881678,3722.8055,0.8508824863399391
3805,IRL,2018,Ireland,3887.973,4531.751,3228.284,0.7123701191879254,False,0.4938966617490126,0.5061033382509874,3880.0175,0.832028206058349
3808,IRL,2019,Ireland,3985.112,4566.786,3395.02,0.7434156100154463,False,0.4964079858947946,0.5035920141052054,3980.9030000000002,0.8528266074305251
3811,IRL,2020,Ireland,4021.022,4630.093,3390.305,0.7322325923043015,False,0.4912702816933217,0.5087297183066783,4010.1989999999996,0.8454206387264074
3814,IRL,2021,Ireland,4278.008,4920.787,3596.217,0.7308215129002739,False,0.48527371146862786,0.5147262885313721,4258.502,0.8444793497807445
3817,IRL,2022,Ireland,4387.157,5094.519,3642.007,0.7148873132085679,False,0.4869921900817343,0.5130078099182658,4368.263,0.833742611193511
3820,IRL,2023,Ireland,4504.735,5172.459,3818.318,0.7382016947838543,False,0.49309783840826055,0.5069021615917395,4495.3885,0.8493855425398718
3823,ISL,2004,Iceland,2673.212,3287.014,2043.178,0.6215909028680742,False,0.49347502403853893,0.5065249759614611,2665.096,0.7666433029054113
3826,ISL,2005,Iceland,2849.297,3506.359,2191.623,0.6250423872740926,False,0.49976725365396546,0.5002327463460345,2848.991,0.7692628723642861
3829,ISL,2006,Iceland,3738.59,4524.282,2892.81,0.639396483243087,False,0.4815847283925191,0.5184152716074809,3708.5460000000003,0.7800388615915779
3832,ISL,2007,Iceland,4219.754,5092.995,3275.733,0.6431840204044968,False,0.48052564792528546,0.5194743520747145,4184.364,0.7828508705265604
3835,ISL,2008,Iceland,4611.25,5603.3,3551.578,0.6338368461442364,False,0.4835206719038935,0.5164793280961065,4577.439,0.7758875650773281
3838,ISL,2009,Iceland,3104.274,3797.125,2401.492,0.6324500773611614,False,0.49644211622969664,0.5035578837703034,3099.3085,0.7748476797324306
3841,ISL,2010,Iceland,2541.736,3036.211,2031.996,0.6692538825529584,False,0.49239953595594577,0.5076004640440542,2534.1035,0.8018599082476308
3844,ISL,2011,Iceland,2730.881,3308.389,2156.217,0.6517422830265728,False,0.5012341907284679,0.49876580927153213,2732.303,0.7891573518749568
3847,ISL,2012,Iceland,2921.164,3504.932,2320.387,0.662034812658277,False,0.4928204500462201,0.5071795499537799,2912.6594999999998,0.7966557711260106
3850,ISL,2013,Iceland,2746.691,3348.188,2133.973,0.6373516063016772,False,0.4953793191485859,0.5046206808514141,2741.0805,0.7785152606791372
3853,ISL,2014,Iceland,3364.105,4023.486,2691.951,0.6690593679212504,False,0.4952036559309368,0.5047963440690633,3357.7185,0.8017202752404646
3856,ISL,2015,Iceland,3351.985,3943.053,2719.717,0.6897490345678844,False,0.48316079964948294,0.5168392003505171,3331.385,0.816392281288413
3859,ISL,2016,Iceland,25153.079,29381.792,20651.205,0.7028572321252564,False,0.4843560919786951,0.5156439080213049,25016.4985,0.8255034172748037
3862,ISL,2017,Iceland,5232.809,5862.352,4518.56,0.7707759615935721,False,0.46848247347803823,0.5315175265219618,5190.456,0.8705516432467592
3865,ISL,2018,Iceland,6122.922,6879.357,5283.199,0.7679786061400796,False,0.4739098510297854,0.5260901489702146,6081.278,0.8687645919163701
3868,ISL,2019,Iceland,6056.891,6896.771,5226.14,0.7577662068234541,False,0.5027322011862586,0.4972677988137414,6061.4555,0.8621922572886991
3949,ISR,2009,Israel,7947.0,9526.0,6280.0,0.6592483728742389,False,0.4864448552064079,0.5135551447935921,7903.0,0.7946349487536378
3952,ISR,2010,Israel,8100.0,9720.0,6386.0,0.6569958847736626,False,0.4859028194361128,0.5140971805638872,8053.0,0.7929963988575686
3955,ISR,2011,Israel,8325.0,9976.0,6600.0,0.6615878107457899,False,0.4890402843601896,0.5109597156398105,8288.0,0.7963320463320464
3958,ISR,2012,Israel,9149.0,10953.0,7244.0,0.6613713137953072,False,0.4863844702076031,0.5136155297923969,9098.5,0.7961751937132494
3961,ISR,2013,Israel,9030.0,10683.0,7280.0,0.681456519704203,False,0.48574786952688803,0.514252130473112,8981.5,0.8105550297834437
3964,ISR,2014,Israel,9317.0,11114.0,7439.0,0.6693359726471118,False,0.4889795918367347,0.5110204081632653,9276.5,0.8019188271438581
3967,ISR,2015,Israel,9503.0,11219.0,7666.0,0.6833051074070773,False,0.48297213622291024,0.5170278637770898,9442.5,0.811861265554673
3970,ISR,2016,Israel,9724.0,11664.0,7633.0,0.6544067215363512,False,0.4812701562887621,0.518729843711238,9648.5,0.7911074260247707
3973,ISR,2018,Israel,10584.0,12498.0,8546.0,0.6837894063050088,False,0.48431174089068824,0.5156882591093117,10522.0,0.8122030032313249
3976,ISR,2021,Israel,10928.0,13126.0,8670.0,0.6605211031540454,False,0.49326750448833034,0.5067324955116697,10898.0,0.7955588181317673
3979,ITA,2002,Italy,1880.12,2008.9,1612.32,0.8025884812584001,False,0.3247264108124468,0.6752735891875532,1810.6100000000001,0.8904844223769889
3982,ITA,2006,Italy,2099.0,2271.0,1865.0,0.8212241303390577,False,0.4236453201970443,0.5763546798029557,2068.0,0.9018375241779497
3985,ITA,2007,Italy,2725.037,3023.628,2322.827,0.7682251255776174,False,0.4260710244420319,0.5739289755579682,2673.2275,0.8689223045924824
3988,ITA,2008,Italy,1210.181,1327.267,1055.891,0.7955377478683641,True,0.43145303932551154,0.5685469606744884,1191.5790000000002,0.8861275668671569
3991,ITA,2009,Italy,1226.329,1342.1,1076.051,0.8017666343789583,False,0.43514916425169786,0.5648508357483022,1209.0755,0.8899783346862954
3994,ITA,2010,Italy,1247.144,1365.152,1096.278,0.8030446426478517,False,0.43889702983553647,0.5611029701644635,1230.7150000000001,0.890765124338291
3997,ITA,2011,Italy,1258.837,1381.381,1104.727,0.7997265055766657,False,0.4429504001388019,0.5570495998611982,1243.054,0.8887200395155802
4000,ITA,2012,Italy,1258.506,1385.247,1102.635,0.7959843984502403,False,0.4484629102798181,0.5515370897201819,1243.941,0.8864045802815407
4003,ITA,2013,Italy,1264.564,1392.136,1109.764,0.7971663688030479,False,0.45178700437720404,0.5482129956227959,1250.9499999999998,0.8871369758983173
